岗位名称,岗位职责,职业代码
Senior leader,"参与INTERACT项目开发。主要任务是负责项目架构分析,性能调优, 内存分析,解决复杂疑难问题,快速解决客户遇到的各种问题。 同时帮助其他团队成员分析疑难问题。",1
架构师,工作描述： 参与INTERACT项目开发。主要任务是负责项目架构分析，性能调优， 内存分析，解决复杂疑难问题，快速解决客户遇到的各种问题。 同时帮助其他团队成员分析疑难问题。 主导开发PRISM项目。基于微软azure的实时数据存储和展示系统。 相关技术有RabbitMQ webapi cassabdra mongodb radis html5 css3 angular2 servicefabric 等,1
Enterprise 高级软件工程师,"参与KDRGold 项目开发.Gold 是一个销售管理系统，主要应用于超市，旅馆，餐馆。C/S 架构,前端用使用WPF做UI设计,用SCSF来搭建一个松散耦合的MVP架构,ORMapping 框架使用CSLA 开源项目, 数据访问则利用MS DB Access Application Block, 数据库采用MS SqlServer. 通过WCF完成客户端与服务端之间的交互. ________________________________________",1
Architect,"参与KDR Gold 项目设计和开发.Gold 是一个销售管理系统，主要应用于超市，旅馆，餐馆。C/S 架构,前端用使用WPF做UI设计,用SCSF来搭建一个松散耦合的MVP架构,ORMapping 框架使用CSLA 开源项目, 数据访问则利用MS DB Access Application Block, 数据库采用MS SqlServer. 通过WCF完成客户端与服务端之间的交互.  系统架构设计及开发。 参与Plotting Manager， Optimine, Optimine siverlight等项目的架构设计。分析客户需求，整体架构设计及详细设计，选定技术方案， 细分任务及分派任务。",1
高级软件工程师,"参与EzeCastle公司Comission Optimizer Voter外包项目的设计和开发。熟悉DevExpress 的各种控件及组件。熟悉目前流行的各种开源框架  O/R MAPPING：NHIBERNATE，XPO（商业控件）  IOC：CASTLE，SPRING.NET, OBJECTBUILDER  以及微软的CAB",1
前台,":中远集团韩国分公司货代系统 开发工具: Visual studio 2003 项目描述: 中远集团韩国分公司货代系统,项目为C/S架构,系统基于。NET平台利用WEBSERVICE机制实现前台与中间层数据交互,后台数据库采用SQLSERVER。项目组成员10-20人。 责任描述: 项目角色为Developer,负责系统框架,结算等模块的需求分析,模块设计,开发,及项目实施。",1
前台,"开发工具: Visual studio 2003 项目描述: 厦门建发集团FREIGHT。NET 物流综合系统.项目为C/S架构,该系统基于。NET平台,利用WEBSERVICE机制实现前台与中间层数据交互,后台数据库采用SQLSERVER。项目组成员20--30 人。  责任描述: 项目角色为Developer,负责基础信息,结算,短信平台等模块开发。",1
Team leader / Senior software engineer,"项目描述: 为Scandinavia online开发类似于yahoo answer的在线知识问答的网站应用.基于LAMP 技术, 项目框架采用Drupal,并在此基础上进行扩展开发. 责任描述: 项目角色为Team leader/Senior software engineer.",1
主策划代理,工作描述： 战斗模块设计、战斗系统数值 地图玩法设计以及对应的UI和数值 资源循环、成长验证规划 用户体验优化,1
高级系统策划,工作描述： 负责战斗数值、系统设计。项目流水3000万,1
制作人/主策划,工作描述： 分配工作任务 管理开发进度 系统、玩法设计 游戏体验修改 美术质量验收,1
制作人/主策划,工作描述： 项目经理兼主策划 撰写项目提案，设计游戏总体结构，面试项目组成员，人员管理，制定工作计划，考核成员任务完成情况，控制项目进度 设计游戏核心玩法，提出美术需求，设计游戏数值体系、UI布局、撰写核心系统策划案,1
制作人/主策划,工作描述： 立项；设计游戏玩法；设计游戏数值体系；设计游戏功能，UI布局 面试部门其他成员，协调成员合作，制定工作计划，考核成员任务完成情况,1
主策划,"一款类似植物大战僵尸的塔防类游戏，强化了植物的养成机制,将植物的技能卡牌化。 负责游戏系统和数值策划，负责审核其他策划的策划案，布置任务。",1
